"Publication Date","Fiscal Year","Agency Number","Agency Name","Unit Appropriation Number","Unit Appropriation Name","Responsibility Center Code","Responsibility Center Name","Financial Plan Savings Flag","sum_adopted_budget_amount","sum_current_modified_budget_amount","sum_financial_plan_amount","sum_adopted_budget_position","sum_current_modified_budget_position","sum_financial_plan_position","sum_adopted_budget_number_of_contracts","sum_current_modified_budget_number_of_contracts","sum_financial_plan_number_of_contracts"
"20260217","2027","030","DEPARTMENT OF CITY PLANNING","004","GEOGRAPHIC SYSTEMS","0001","DEPT OF CITY PLANNING","N","297,688","297,688","297,688","0","0","0","5","5","3"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","0001","EXECUTIVE","N","4,132,751","4,226,704","4,266,844","25","31","31","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","0001","EXECUTIVE","N","4,132,751","4,226,704","4,266,844","25","31","31","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","0002","MANAGEMENT+ADMIN","N","2,000,353","2,804,727","2,692,733","24","27","27","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","0002","MANAGEMENT+ADMIN","N","2,000,353","2,724,727","2,612,733","24","26","26","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","0003","INVESTIGATIONS MANAGMENT","N","1,000","1,827,341","1,827,341","0","22","22","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","0003","INVESTIGATIONS MANAGMENT","N","1,000","1,827,341","1,827,341","0","22","22","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","0004","BACKGROUND COMPLAINTS FINGPRT","N","1,093,047","704,693","704,693","14","8","8","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","0004","BACKGROUND COMPLAINTS FINGPRT","N","1,093,047","704,693","704,693","14","8","8","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","0005","INSPECTOR GENERAL","N","3,179,708","3,650,062","3,660,100","33","36","36","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","0005","INSPECTOR GENERAL","N","3,179,708","3,650,062","3,660,100","33","36","36","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","0006","INSPECTOR GENERAL-IC","N","6,435,906","6,391,915","6,395,934","70","62","62","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES","0006","INSPECTOR GENERAL-IC","N","6,435,906","6,302,435","6,306,454","70","61","61","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES",,,"Y","695,100","0","-1,144,000","10","0","-11","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES",,,"N","8,051,852","6,069,794","6,073,843","78","68","68","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES",,,"Y","695,100","0","0","10","0","0","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","001","PERSONAL SERVICES",,,"N","8,051,852","6,239,274","6,243,323","78","70","70","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","002","OTHER THAN PERSONAL SERVICES","0002","MANAGEMENT+ADMIN","N","1,895,607","2,029,780","20,536,989","0","0","0","20","14","20"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","002","OTHER THAN PERSONAL SERVICES","0002","MANAGEMENT+ADMIN","N","1,895,607","2,012,645","19,778,055","0","0","0","20","14","20"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","002","OTHER THAN PERSONAL SERVICES","0005","INSPECTOR GENERAL","N","184,160","183,389","184,160","0","0","0","2","1","2"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","002","OTHER THAN PERSONAL SERVICES","0005","INSPECTOR GENERAL","N","184,160","200,524","184,160","0","0","0","2","1","2"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","002","OTHER THAN PERSONAL SERVICES",,,"N","22,925,054","31,707,863","3,242,606","0","0","0","2","2","2"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","002","OTHER THAN PERSONAL SERVICES",,,"Y","-2,565,841","-2,563,723","-2,567,841","0","0","0","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","002","OTHER THAN PERSONAL SERVICES",,,"N","22,925,054","29,085,718","3,242,606","0","0","0","2","2","2"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","002","OTHER THAN PERSONAL SERVICES",,,"Y","-2,565,841","-2,563,723","-2,567,841","0","0","0","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","003","INSPECTOR GENERAL-PS","0004","BACKGROUND COMPLAINTS FINGPRT","N","216,323","470,823","216,323","0","5","0","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","003","INSPECTOR GENERAL-PS","0004","BACKGROUND COMPLAINTS FINGPRT","N","216,323","470,823","216,323","0","5","0","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","003","INSPECTOR GENERAL-PS","0008","INSPECTOR GENERAL-IC","N","2,624,333","2,864,333","2,624,333","34","37","34","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","003","INSPECTOR GENERAL-PS","0008","INSPECTOR GENERAL-IC","N","2,624,333","2,864,333","2,624,333","34","37","34","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","003","INSPECTOR GENERAL-PS",,,"N","1,178,429","3,216,637","2,001,665","5","17","5","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","003","INSPECTOR GENERAL-PS",,,"Y","823,236","0","1,965","0","0","0","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","003","INSPECTOR GENERAL-PS",,,"N","1,178,429","2,708,665","2,001,665","5","13","5","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","003","INSPECTOR GENERAL-PS",,,"Y","823,236","0","1,965","0","0","0","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","004","INSPECTOR GENERAL-OTPS","0004","BACKGROUND COMPLAINTS FINGPRT","N","12,750","22,750","12,750","0","0","0","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","004","INSPECTOR GENERAL-OTPS","0004","BACKGROUND COMPLAINTS FINGPRT","N","12,750","22,750","12,750","0","0","0","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","004","INSPECTOR GENERAL-OTPS","0005","INSPECTOR GENERAL","N","65,700","65,700","65,700","0","0","0","8","2","8"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","004","INSPECTOR GENERAL-OTPS","0005","INSPECTOR GENERAL","N","65,700","65,700","65,700","0","0","0","8","2","8"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","004","INSPECTOR GENERAL-OTPS","0008","INSPECTOR GENERAL-IC","N","158,000","178,000","158,000","0","0","0","0","0","0"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","004","INSPECTOR GENERAL-OTPS","0008","INSPECTOR GENERAL-IC","N","158,000","178,000","158,000","0","0","0","0","0","0"
"20260512","2027","032","DEPARTMENT OF INVESTIGATION","004","INSPECTOR GENERAL-OTPS",,,"N","2,767,000","2,812,960","2,767,000","0","0","0","1","1","1"
"20260217","2027","032","DEPARTMENT OF INVESTIGATION","004","INSPECTOR GENERAL-OTPS",,,"N","2,767,000","2,792,960","2,767,000","0","0","0","1","1","1"
"20260512","2027","035","NEW YORK RESEARCH LIBRARIES","001","LUMP SUM APPROPRIATION","0002","RESEARCH LIBRARIES","N","37,716,916","37,716,916","38,390,279","0","0","0","0","0","0"
"20260217","2027","035","NEW YORK RESEARCH LIBRARIES","001","LUMP SUM APPROPRIATION","0002","RESEARCH LIBRARIES","N","37,716,916","37,716,916","35,645,699","0","0","0","0","0","0"
"20260512","2027","035","NEW YORK RESEARCH LIBRARIES","001","LUMP SUM APPROPRIATION","L","NEW YORK RESEARCH LIBRARY","N","150,000","150,000","0","0","0","0","0","0","0"
"20260217","2027","035","NEW YORK RESEARCH LIBRARIES","001","LUMP SUM APPROPRIATION","L","NEW YORK RESEARCH LIBRARY","N","150,000","150,000","0","0","0","0","0","0","0"
"20260512","2027","037","NEW YORK PUBLIC LIBRARY","003","LUMP SUM-BORO OF MANHATTAN","0002","NEW YORK CITY PUBLIC LIBRARY","N","26,531,040","26,531,040","27,211,319","0","0","0","0","0","0"
"20260217","2027","037","NEW YORK PUBLIC LIBRARY","003","LUMP SUM-BORO OF MANHATTAN","0002","NEW YORK CITY PUBLIC LIBRARY","N","26,531,040","26,531,040","26,531,040","0","0","0","0","0","0"
"20260512","2027","037","NEW YORK PUBLIC LIBRARY","004","LUMP SUM- BORO OF BRONX","0002","NEW YORK CITY PUBLIC LIBRARY","N","24,717,567","24,717,567","25,152,688","0","0","0","0","0","0"
"20260217","2027","037","NEW YORK PUBLIC LIBRARY","004","LUMP SUM- BORO OF BRONX","0002","NEW YORK CITY PUBLIC LIBRARY","N","24,717,567","24,717,567","24,717,567","0","0","0","0","0","0"
"20260512","2027","037","NEW YORK PUBLIC LIBRARY","005","LUMP SUM-BORO OF STATEN ISL","0002","NEW YORK CITY PUBLIC LIBRARY","N","11,113,537","11,113,537","11,247,604","0","0","0","0","0","0"
"20260217","2027","037","NEW YORK PUBLIC LIBRARY","005","LUMP SUM-BORO OF STATEN ISL","0002","NEW YORK CITY PUBLIC LIBRARY","N","11,113,537","11,113,537","11,113,537","0","0","0","0","0","0"
"20260512","2027","037","NEW YORK PUBLIC LIBRARY","006","SYSTEMWIDE SERVICES","0002","NEW YORK CITY PUBLIC LIBRARY","N","120,569,386","120,569,386","121,267,813","0","0","0","0","0","0"
"20260217","2027","037","NEW YORK PUBLIC LIBRARY","006","SYSTEMWIDE SERVICES","0002","NEW YORK CITY PUBLIC LIBRARY","N","120,569,386","120,569,386","109,475,413","0","0","0","0","0","0"
"20260512","2027","037","NEW YORK PUBLIC LIBRARY","006","SYSTEMWIDE SERVICES","L","LIBRARIES CAPITAL PROJECTS","N","0","277,860","0","0","0","0","0","0","0"
"20260217","2027","037","NEW YORK PUBLIC LIBRARY","006","SYSTEMWIDE SERVICES","L","LIBRARIES CAPITAL PROJECTS","N","0","277,860","0","0","0","0","0","0","0"
"20260512","2027","037","NEW YORK PUBLIC LIBRARY","006","SYSTEMWIDE SERVICES","LN","NY PUBLIC LIBRARY","N","6,304,792","6,939,215","5,756,678","0","0","0","0","0","0"
"20260217","2027","037","NEW YORK PUBLIC LIBRARY","006","SYSTEMWIDE SERVICES","LN","NY PUBLIC LIBRARY","N","6,304,792","6,431,929","5,756,678","0","0","0","0","0","0"
"20260512","2027","037","NEW YORK PUBLIC LIBRARY","006","SYSTEMWIDE SERVICES",,,"N","0","1,786,504","0","0","0","0","0","0","0"
"20260217","2027","037","NEW YORK PUBLIC LIBRARY","006","SYSTEMWIDE SERVICES",,,"N","0","1,517,268","0","0","0","0","0","0","0"
"20260512","2027","037","NEW YORK PUBLIC LIBRARY","007","CONSULTANT & ADVISORY SVCS","0002","NEW YORK CITY PUBLIC LIBRARY","N","1,362,128","1,362,128","1,362,128","0","0","0","0","0","0"
"20260217","2027","037","NEW YORK PUBLIC LIBRARY","007","CONSULTANT & ADVISORY SVCS","0002","NEW YORK CITY PUBLIC LIBRARY","N","1,362,128","1,362,128","1,362,128","0","0","0","0","0","0"
"20260512","2027","038","BROOKLYN PUBLIC LIBRARY","001","LUMP SUM","0002","BROOKLYN PUBLIC LIBRARY","N","140,675,411","140,633,411","142,235,784","0","0","0","0","0","0"
"20260217","2027","038","BROOKLYN PUBLIC LIBRARY","001","LUMP SUM","0002","BROOKLYN PUBLIC LIBRARY","N","140,675,411","140,633,411","132,457,582","0","0","0","0","0","0"
"20260512","2027","038","BROOKLYN PUBLIC LIBRARY","001","LUMP SUM","LB","BROOKLYN PUBLIC LIBRARY","N","4,066,314","4,796,314","3,600,000","0","0","0","0","0","0"
"20260217","2027","038","BROOKLYN PUBLIC LIBRARY","001","LUMP SUM","LB","BROOKLYN PUBLIC LIBRARY","N","4,066,314","4,066,314","3,600,000","0","0","0","0","0","0"
"20260512","2027","038","BROOKLYN PUBLIC LIBRARY","001","LUMP SUM",,,"N","32,588","1,972,366","32,588","0","0","0","0","0","0"
"20260217","2027","038","BROOKLYN PUBLIC LIBRARY","001","LUMP SUM",,,"N","32,588","1,846,969","32,588","0","0","0","0","0","0"
"20260512","2027","039","QUEENS BOROUGH PUBLIC LIBRARY","001","LUMP SUM","0002","QUEENS PUBLIC LIBRARY","N","145,806,149","145,848,149","147,172,276","0","0","0","0","0","0"
"20260217","2027","039","QUEENS BOROUGH PUBLIC LIBRARY","001","LUMP SUM","0002","QUEENS PUBLIC LIBRARY","N","145,806,149","145,848,149","137,543,132","0","0","0","0","0","0"
"20260512","2027","039","QUEENS BOROUGH PUBLIC LIBRARY","001","LUMP SUM","LQ","QUEENS PUBLIC LIBRARY","N","3,200,000","3,853,326","3,200,000","0","0","0","0","0","0"
"20260217","2027","039","QUEENS BOROUGH PUBLIC LIBRARY","001","LUMP SUM","LQ","QUEENS PUBLIC LIBRARY","N","3,200,000","3,200,000","3,200,000","0","0","0","0","0","0"
"20260512","2027","039","QUEENS BOROUGH PUBLIC LIBRARY","001","LUMP SUM",,,"N","894,061","1,288,604","0","0","0","0","0","0","0"
"20260217","2027","039","QUEENS BOROUGH PUBLIC LIBRARY","001","LUMP SUM",,,"N","894,061","1,288,604","0","0","0","0","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","401","GE INSTR & SCH LEADERSHIP - PS",,,"N","8,287,745,549","8,070,060,707","8,407,973,801","66,094","66,282","66,288","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","401","GE INSTR & SCH LEADERSHIP - PS",,,"N","8,287,745,549","8,232,135,274","8,854,181,018","66,094","66,094","66,094","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","402","GE INSTR & SCH LEADERSHIP - OTPS",,,"N","931,193,385","1,234,543,939","817,995,655","0","0","0","919","919","919"
"20260512","2027","040","DEPARTMENT OF EDUCATION","402","GE INSTR & SCH LEADERSHIP - OTPS",,,"Y","15,866,676","15,866,676","-17,343,041","0","0","0","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","402","GE INSTR & SCH LEADERSHIP - OTPS",,,"Y","15,866,676","15,866,676","12,956,959","0","0","0","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","402","GE INSTR & SCH LEADERSHIP - OTPS",,,"N","931,193,385","932,420,705","854,951,864","0","0","0","919","919","919"
"20260512","2027","040","DEPARTMENT OF EDUCATION","403","SE INSTR & SCH LEADERSHIP - PS",,,"N","2,991,870,301","2,899,719,289","3,191,515,248","32,356","32,356","32,517","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","403","SE INSTR & SCH LEADERSHIP - PS",,,"N","2,991,870,301","2,901,923,953","3,178,493,020","32,356","32,356","32,374","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","404","SE INSTR & SCH LEADERSHIP -OTPS",,,"N","10,124,931","17,933,319","14,797,419","0","0","0","41","41","41"
"20260217","2027","040","DEPARTMENT OF EDUCATION","404","SE INSTR & SCH LEADERSHIP -OTPS",,,"N","10,124,931","10,124,931","10,274,931","0","0","0","41","41","41"
"20260512","2027","040","DEPARTMENT OF EDUCATION","406","CHARTER SCHOOLS",,,"N","3,384,434,282","3,593,078,788","3,744,490,013","0","0","0","234","234","234"
"20260217","2027","040","DEPARTMENT OF EDUCATION","406","CHARTER SCHOOLS",,,"N","3,384,434,282","3,473,261,755","3,744,490,013","0","0","0","234","234","234"
"20260512","2027","040","DEPARTMENT OF EDUCATION","407","UNIVERSAL PRE-K - PS",,,"Y","50,000,000","0","0","350","0","0","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","407","UNIVERSAL PRE-K - PS",,,"N","837,733,963","871,522,761","1,053,711,602","6,599","6,902","7,079","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","407","UNIVERSAL PRE-K - PS",,,"N","837,733,963","840,881,259","1,027,407,782","6,599","6,881","6,911","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","407","UNIVERSAL PRE-K - PS",,,"Y","50,000,000","0","0","350","0","0","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","408","UNIVERSAL PRE-K - OTPS",,,"Y","-91,000,000","0","0","0","0","0","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","408","UNIVERSAL PRE-K - OTPS",,,"N","917,957,446","949,482,886","1,217,868,251","0","0","0","1,227","1,227","1,228"
"20260217","2027","040","DEPARTMENT OF EDUCATION","408","UNIVERSAL PRE-K - OTPS",,,"Y","-91,000,000","-91,000,000","25,000,000","0","0","0","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","408","UNIVERSAL PRE-K - OTPS",,,"N","917,957,446","917,957,446","1,187,058,591","0","0","0","1,227","1,227","1,228"
"20260512","2027","040","DEPARTMENT OF EDUCATION","409","EARLY CHILDHOOD PROGRAMS- PS",,,"N","25,915,165","26,129,925","26,463,472","496","496","496","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","409","EARLY CHILDHOOD PROGRAMS- PS",,,"N","25,915,165","25,915,165","26,463,472","496","496","496","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","410","EARLY CHILDHOOD PROGRAMS - OTPS",,,"Y","-44,000,000","0","0","0","0","0","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","410","EARLY CHILDHOOD PROGRAMS - OTPS",,,"N","512,602,630","602,054,651","595,452,041","0","0","0","766","764","714"
"20260217","2027","040","DEPARTMENT OF EDUCATION","410","EARLY CHILDHOOD PROGRAMS - OTPS",,,"Y","-44,000,000","-54,000,000","0","0","0","0","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","410","EARLY CHILDHOOD PROGRAMS - OTPS",,,"N","512,602,630","507,527,825","556,190,071","0","0","0","766","760","714"
"20260512","2027","040","DEPARTMENT OF EDUCATION","415","SCHOOL SUPPORT ORGANIZATION",,,"N","325,381,281","357,481,901","388,257,416","2,501","2,722","2,865","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","415","SCHOOL SUPPORT ORGANIZATION",,,"Y","-18,936,524","-18,936,524","-36,826,892","0","0","-197","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","415","SCHOOL SUPPORT ORGANIZATION",,,"N","325,381,281","328,330,646","332,638,887","2,501","2,527","2,498","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","415","SCHOOL SUPPORT ORGANIZATION",,,"Y","-18,936,524","-18,936,524","-18,936,524","0","0","0","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","416","SCHOOL SUPPORT ORGANIZATION OTPS",,,"N","40,843,036","46,297,960","41,585,005","0","0","0","63","63","63"
"20260217","2027","040","DEPARTMENT OF EDUCATION","416","SCHOOL SUPPORT ORGANIZATION OTPS",,,"N","40,843,036","43,493,086","44,104,163","0","0","0","63","63","63"
"20260512","2027","040","DEPARTMENT OF EDUCATION","421","CW SE INSTR & SCHL LEADERSHIP - PS",,,"N","1,506,450,811","1,502,782,737","1,595,173,969","16,487","16,487","16,951","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","421","CW SE INSTR & SCHL LEADERSHIP - PS",,,"N","1,506,450,811","1,505,229,517","1,595,198,969","16,487","16,487","16,951","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","422","CW SE INSTR & SCHL LEADERSHIP - OTPS",,,"N","24,425,889","41,382,399","25,123,182","0","0","0","112","112","112"
"20260217","2027","040","DEPARTMENT OF EDUCATION","422","CW SE INSTR & SCHL LEADERSHIP - OTPS",,,"N","24,425,889","38,935,619","25,098,182","0","0","0","112","112","112"
"20260512","2027","040","DEPARTMENT OF EDUCATION","423","SE INSTRUCTIONAL SUPPORT - PS",,,"N","413,541,244","423,192,824","442,946,172","3,786","3,839","3,907","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","423","SE INSTRUCTIONAL SUPPORT - PS",,,"N","413,541,244","419,887,965","433,180,168","3,786","3,838","3,838","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","424","SE INSTRUCTIONAL SUPPORT -  OTPS",,,"N","569,128,037","649,617,664","637,064,850","0","0","0","84","85","85"
"20260217","2027","040","DEPARTMENT OF EDUCATION","424","SE INSTRUCTIONAL SUPPORT -  OTPS",,,"N","569,128,037","575,813,376","605,389,434","0","0","0","84","85","85"
"20260512","2027","040","DEPARTMENT OF EDUCATION","433","DIVISION OF TECHNOLOGY - PS",,,"N","56,249,438","57,174,672","63,651,247","410","412","458","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","433","DIVISION OF TECHNOLOGY - PS",,,"N","56,249,438","56,439,462","56,321,291","410","412","410","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","434","DIVISION OF TECHNOLOGY - OTPS",,,"N","75,016,425","255,921,662","167,680,370","0","0","0","55","56","55"
"20260217","2027","040","DEPARTMENT OF EDUCATION","434","DIVISION OF TECHNOLOGY - OTPS",,,"N","75,016,425","155,016,425","76,283,384","0","0","0","55","55","55"
"20260512","2027","040","DEPARTMENT OF EDUCATION","435","SCHOOL FACILITIES - PS",,,"N","201,782,563","202,634,041","201,885,236","612","620","604","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","435","SCHOOL FACILITIES - PS",,,"N","201,782,563","202,944,041","201,885,236","612","623","604","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","436","SCHOOL FACILITIES - OTPS",,,"N","1,222,730,470","1,276,845,543","1,163,949,210","0","0","0","346","346","346"
"20260512","2027","040","DEPARTMENT OF EDUCATION","436","SCHOOL FACILITIES - OTPS",,,"Y","898,520","0","0","0","0","0","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","436","SCHOOL FACILITIES - OTPS",,,"N","1,222,730,470","1,250,964,124","1,067,634,007","0","0","0","346","346","346"
"20260217","2027","040","DEPARTMENT OF EDUCATION","436","SCHOOL FACILITIES - OTPS",,,"Y","898,520","0","0","0","0","0","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","437","PUPIL TRANSPORTATION - PS",,,"N","11,403,390","11,403,390","11,475,351","135","135","135","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","437","PUPIL TRANSPORTATION - PS",,,"N","11,403,390","11,403,390","11,475,351","135","135","135","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","438","PUPIL TRANSPORTATION - OTPS",,,"N","1,999,407,646","2,200,180,177","2,198,457,646","0","0","0","105","106","105"
"20260217","2027","040","DEPARTMENT OF EDUCATION","438","PUPIL TRANSPORTATION - OTPS",,,"N","1,999,407,646","1,999,407,646","2,226,407,646","0","0","0","105","106","105"
"20260512","2027","040","DEPARTMENT OF EDUCATION","439","SCHOOL FOOD SERVICES - PS",,,"N","294,676,684","294,089,389","295,163,598","1,650","1,650","1,650","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","439","SCHOOL FOOD SERVICES - PS",,,"N","294,676,684","294,676,684","295,163,598","1,650","1,650","1,650","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","440","SCHOOL FOOD SERVICES - OTPS",,,"N","332,285,760","372,095,356","331,647,025","0","0","0","76","76","76"
"20260217","2027","040","DEPARTMENT OF EDUCATION","440","SCHOOL FOOD SERVICES - OTPS",,,"N","332,285,760","332,285,760","331,647,025","0","0","0","76","76","76"
"20260512","2027","040","DEPARTMENT OF EDUCATION","442","SCHOOL SAFETY - OTPS",,,"N","372,444,845","397,812,440","374,061,659","0","0","0","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","442","SCHOOL SAFETY - OTPS",,,"N","372,444,845","372,021,682","387,484,536","0","0","0","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","444","ENERGY AND LEASES - OTPS",,,"N","830,561,986","830,561,986","1,015,821,744","0","0","0","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","444","ENERGY AND LEASES - OTPS",,,"N","830,561,986","830,561,986","855,890,193","0","0","0","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","453","CENTRAL ADMINISTRATION - PS",,,"N","182,895,536","186,123,000","193,402,287","1,804","1,820","1,871","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","453","CENTRAL ADMINISTRATION - PS",,,"Y","-69,431,289","-69,431,289","-94,431,289","-498","-498","-498","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","453","CENTRAL ADMINISTRATION - PS",,,"Y","-69,431,289","-69,431,289","-69,431,289","-498","-498","-498","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","453","CENTRAL ADMINISTRATION - PS",,,"N","182,895,536","183,599,764","182,510,962","1,804","1,810","1,779","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","454","CENTRAL ADMINISTRATION - OTPS",,,"N","91,149,954","95,353,768","80,088,927","0","0","0","259","259","260"
"20260512","2027","040","DEPARTMENT OF EDUCATION","454","CENTRAL ADMINISTRATION - OTPS",,,"Y","-28,662,817","-28,662,817","-28,662,817","0","0","0","0","0","-20"
"20260217","2027","040","DEPARTMENT OF EDUCATION","454","CENTRAL ADMINISTRATION - OTPS",,,"N","91,149,954","94,930,560","67,223,494","0","0","0","259","259","260"
"20260217","2027","040","DEPARTMENT OF EDUCATION","454","CENTRAL ADMINISTRATION - OTPS",,,"Y","-28,662,817","-28,662,817","-28,662,817","0","0","0","0","0","-20"
"20260512","2027","040","DEPARTMENT OF EDUCATION","461","FRINGE BENEFITS - PS",,,"N","4,528,701,097","4,658,190,334","5,075,169,224","0","0","0","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","461","FRINGE BENEFITS - PS",,,"N","4,528,701,097","4,571,410,489","4,996,560,841","0","0","0","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","470","SE PRE-K CONTRACT PMTS - OTPS",,,"N","922,706,411","961,686,266","961,686,266","0","0","0","490","490","490"
"20260217","2027","040","DEPARTMENT OF EDUCATION","470","SE PRE-K CONTRACT PMTS - OTPS",,,"N","922,706,411","922,706,411","961,686,266","0","0","0","490","490","490"
"20260512","2027","040","DEPARTMENT OF EDUCATION","472","CONTRACT SCHOOLS/FOSTER/CH 683 PMTS",,,"N","1,298,926,966","1,878,110,056","364,185,547","0","0","0","296","296","295"
"20260217","2027","040","DEPARTMENT OF EDUCATION","472","CONTRACT SCHOOLS/FOSTER/CH 683 PMTS",,,"N","1,298,926,966","1,363,873,314","364,185,547","0","0","0","296","296","295"
"20260512","2027","040","DEPARTMENT OF EDUCATION","474","NPS & FIT PMTS - OTPS",,,"N","108,267,080","108,796,858","109,891,290","0","0","0","0","0","0"
"20260217","2027","040","DEPARTMENT OF EDUCATION","474","NPS & FIT PMTS - OTPS",,,"N","108,267,080","108,510,154","109,891,290","0","0","0","0","0","0"
"20260512","2027","040","DEPARTMENT OF EDUCATION","476","DUE PROCESS CASES",,,"N","0","0","1,405,741,419","0","0","0","0","0","8"
